sold_date,address,location,boarea,biarea,rooms,plot,price
8 april 2021,Nygatan 6,"Marstrand - Koön, Kungälvs kommun",90.0,112.0,4.0,376.0,7500000.0
8 april 2021,Prästvägen 170,"Kareby, Kungälvs kommun",95.0,140.0,7.0,2868.0,3770000.0
4 april 2021,Hammarberg 825,"Kode, Kungälvs kommun",65.0,74.0,5.0,3030.0,4350000.0
2 april 2021,Duvesjön 420,"Bohuslän, Kungälvs kommun",127.0,10.0,5.0,834.0,5400000.0
1 april 2021,Rönnvägen 11,"Diseröd, Kungälvs kommun",120.0,88.0,6.0,849.0,3465000.0
1 april 2021,Toreby mosse 570,"Ytterby, Kungälvs kommun",110.0,80.0,8.0,1375.0,2980000.0
1 april 2021,Häljeröd 106,"Diseröd, Kungälvs kommun",120.0,90.0,8.0,1734.0,3700000.0
26 mars 2021,Domsvägen 7B,"Centralt Ytterby, Kungälvs kommun",159.0,62.0,6.0,600.0,5500000.0
25 mars 2021,Grandalen 110,"Duvesjön, Kungälvs kommun",65.0,62.0,2.0,1121.0,2375000.0
25 mars 2021,Kroken 142,"Harestad, Kungälvs kommun",None,62.0,None,1175.0,3900000.0
23 mars 2021,Ekvägen 2,"Ytterby, Kungälvs kommun",177.0,60.0,7.0,769.0,7700000.0
22 mars 2021,Råckeröd 140,"Kärna, Kungälvs kommun",66.0,20.0,3.0,2269.0,3800000.0
19 mars 2021,Nätstigen 7,"Centralt, Kungälvs kommun",120.0,20.0,4.0,299.0,3900000.0
18 mars 2021,Hallbjörtorp 492,"Kärna, Kungälvs kommun",104.0,8.0,3.0,1499.0,3900000.0
18 mars 2021,Dösebacka 130,"Diseröd, Kungälvs kommun",123.0,41.0,6.0,4859.0,5350000.0
17 mars 2021,Åsgatan 17A,"Centrum, Kungälvs kommun",84.0,44.0,4.0,903.0,5620000.0
17 mars 2021,Tvetgatan 263,"Tveten, Kungälvs kommun",100.0,50.0,6.0,138.0,3850000.0
16 mars 2021,Olserödsgatan 86,"Kungälv - Olseröd, Kungälvs kommun",104.0,50.0,5.0,288.0,4050000.0
16 mars 2021,Tjuvkil 450,"Tjuvkil, Kungälvs kommun",237.0,118.0,8.0,1434.0,3120000.0
16 mars 2021,Rondan 19,"Rörtången / Ödsmålsmosse, Kungälvs kommun",60.0,60.0,4.0,1927.0,4400000.0
16 mars 2021,Åsebyberg 960,"Kode, Kungälvs kommun",157.0,16.0,5.0,1038.0,3850000.0
16 mars 2021,Ulvegärdegatan 15,"Ulvegärde, Kungälvs kommun",140.0,96.0,7.0,1438.0,6100000.0
15 mars 2021,Solhultsgatan 27,"Komarken, Kungälvs kommun",100.0,96.0,4.0,560.0,3315000.0
12 mars 2021,Flateby 480,"Harestad, Kungälvs kommun",59.0,16.0,3.0,1194.0,1600000.0
11 mars 2021,Björkebacka 114,"Kareby, Kungälvs kommun",104.0,16.0,5.0,996.0,5100000.0
10 mars 2021,Älvängen 130,"Harestad, Kungälvs kommun",317.0,71.0,10.0,1180.0,5250000.0
3 mars 2021,Tegskiftegatan 46,"Ytterby, Kungälvs kommun",184.0,54.0,8.0,865.0,6850000.0
2 mars 2021,Sjöhåla strandväg 12,"Kärna, Kungälvs kommun",99.0,54.0,4.0,1441.0,4350000.0
27 februari 2021,Skardet 120,"Kode, Kungälvs kommun",141.0,54.0,6.0,2086.0,5300000.0
27 februari 2021,Granliden 11,"Vedhall, Kungälvs kommun",253.0,23.5,5.0,578.0,9200000.0
25 februari 2021,Önneröd 220,"Kärna, Kungälvs kommun",112.0,23.5,4.0,25370.0,3000000.0
24 februari 2021,Duvesjön 232,"Duvesjön, Kungälvs kommun",122.0,23.5,5.0,1076.0,4725000.0
22 februari 2021,Annas väg 4,"Kärna, Kungälvs kommun",102.0,7.0,4.0,1158.0,3700000.0
18 februari 2021,Madängsgatan 13,"Centrum, Kungälvs kommun",154.0,18.0,7.0,740.0,5750000.0
15 februari 2021,Bokvägen 12,"Fontin, Kungälvs kommun",175.0,35.0,6.0,635.0,7400000.0
12 februari 2021,Tullaregatan 3,"Marstrandsön, Kungälvs kommun",160.0,35.0,5.0,333.0,15800000.0
11 februari 2021,Ulvegärdegatan 15B,"Ulvegärde, Kungälvs kommun",80.0,35.0,4.0,914.0,3700000.0
26 januari 2022,Häroldsgatan 5,"Centrum, Kungälvs kommun",141.0,35.0,7.0,799.0,5700000.0
25 januari 2022,Långåkersgatan 6,"Centralt, Kungälvs kommun",140.0,36.0,5.0,733.0,7000000.0
24 januari 2022,Västerhöjdsvägen 111,"Kärna, Kungälvs kommun",103.0,36.0,5.0,423.0,2500000.0
22 januari 2022,Valtersäng 11,"Trankärr, Kungälvs kommun",162.0,36.0,4.0,808.0,6150000.0
21 januari 2022,Skvaltvägen 3,"Diseröd, Kungälvs kommun",180.0,145.0,8.0,1352.0,5975000.0
19 januari 2022,Trätäljagatan 7,"Iskällan, Kungälvs kommun",142.0,142.0,7.0,1037.0,7550000.0
18 januari 2022,Snäckvägen 16,"Rörtången/ödsmålsmosse, Kungälvs kommun",62.0,142.0,2.0,1801.0,3144000.0
18 januari 2022,Hemvägen 21,"Diseröd, Kungälvs kommun",108.0,32.0,4.0,384.0,4050000.0
11 januari 2022,Ödsmål 540,"Rörtången, Kungälvs kommun",65.0,31.0,4.0,916.0,3850000.0
8 januari 2022,Lagvägen 17,"Ytterby, Kungälvs kommun",164.0,31.0,5.0,597.0,5850000.0
7 januari 2022,Mariebergsliden 5,"Öster, Kungälvs kommun",277.0,91.0,7.0,589.0,10000000.0
30 december 2021,Älvängen 180,"Harestad, Kungälvs kommun",75.0,58.0,4.0,1631.0,4150000.0
22 december 2021,Mossvägen 24,"Hålta, Kungälvs kommun",72.0,58.0,3.0,1068.0,3500000.0
21 december 2021,Galeasgatan 6,"Komarken, Kungälvs kommun",100.0,58.0,3.0,296.0,4000000.0
14 december 2021,Stenåldersgatan 50,"Stället, Kungälvs kommun",110.0,58.0,5.0,221.0,4900000.0
9 december 2021,Munkegärdegatan  310,"Munkegärde, Kungälvs kommun",146.0,58.0,6.0,622.0,6110000.0
8 december 2021,Stora Ryr 310,"Tjuvkil/ Lycke, Kungälvs kommun",106.0,55.0,5.0,1239.0,3695000.0
7 december 2021,Mårdgatan 11,"Klöverbacken - Olseröd, Kungälvs kommun",166.0,12.0,5.0,367.0,6310000.0
6 december 2021,Ulvebackegatan 3,"Ulvegärde, Kungälvs kommun",129.0,44.0,4.0,927.0,4600000.0
3 december 2021,Plogvägen 187,"Ullstorp, Kungälvs kommun",122.0,6.0,5.0,406.0,5600000.0
3 december 2021,Galärgatan 1,"Centralt vid älven, Kungälvs kommun",104.0,4.0,4.0,762.0,3900000.0
1 december 2021,Korpedalsvägen 13,"Aröd/Timmervik, Kungälvs kommun",47.0,40.0,2.0,1179.0,2850000.0
30 november 2021,Grindstolpen 21,"Ytterby, Kungälvs kommun",76.1,40.0,3.0,None,3950000.0
29 november 2021,Hanekullen 200,"Kareby, Kungälvs kommun",114.0,40.0,4.0,1673.0,4200000.0
28 november 2021,Fontinvägen 13,"Bohuslän, Kungälvs kommun",120.0,110.0,4.0,1167.0,6960500.0
26 november 2021,Kyrkeby 300,"Harestad, Kungälvs kommun",114.0,117.0,6.0,1402.0,4170000.0
25 november 2021,Parkgatan 21,"Marstrand - Koön, Kungälvs kommun",113.0,76.0,7.0,592.0,6100000.0
25 november 2021,Bäckgatan 38,"Centrum, Kungälvs kommun",108.0,60.0,7.0,607.0,6670000.0
23 november 2021,Bärtas väg 7,"Kode, Kungälvs kommun",53.0,60.0,2.0,1792.0,2950000.0
18 november 2021,Lundby 380,"Kareby, Kungälvs kommun",140.0,60.0,None,1818.0,5200000.0
17 november 2021,Nygatan 36,"Marstrand, Kungälvs kommun",118.0,30.0,4.0,146.0,5900000.0
17 november 2021,Hammarberg 840,"Kode, Kungälvs kommun",82.0,14.0,3.0,1893.0,3420000.0
16 november 2021,Duvesjön 360,"Duvesjön, Kungälvs kommun",109.6,14.0,4.0,968.0,4600000.0
15 november 2021,Vallgatan 3,"Kungälv - Centralt, Kungälvs kommun",65.0,61.0,5.0,495.0,5800000.0
12 november 2021,Vallby 210,"Kode, Kungälvs kommun",70.0,61.0,3.0,1260.0,2550000.0
12 november 2021,Dotorp 470,"Kärna, Kungälvs kommun",127.0,61.0,4.0,18448.0,6495000.0
11 november 2021,Prästvägen,"Bohuslän, Kungälvs kommun",None,61.0,None,24755.0,1725000.0
10 november 2021,Bremnäs 400,"Lycke, Kungälvs kommun",130.0,61.0,4.0,2562.0,5800000.0
10 november 2021,Hammarhöjden 680,"Kode, Kungälvs kommun",100.0,61.0,5.0,1059.0,3650000.0
5 november 2021,Stenhålt 124,"Romelanda, Kungälvs kommun",163.0,61.0,7.0,1668.0,5600000.0
4 november 2021,Veneröd 430,"Hålta, Kungälvs kommun",92.0,61.0,4.0,1376.0,3825000.0
4 november 2021,Poppelvägen 1,"Diseröd, Kungälvs kommun",138.0,61.0,5.0,788.0,4300000.0
3 november 2021,Hammarhöjden 695,"Kode, Kungälvs kommun",92.0,61.0,3.0,1053.0,3600000.0
3 november 2021,Grindklykan 7,"Grinden, Kungälvs kommun",114.0,7.0,4.0,392.0,5095000.0
30 oktober 2021,Oxelvägen 24,"Diseröd, Kungälvs kommun",139.0,7.0,6.0,404.0,4000000.0
30 oktober 2021,Granliden 9,"Vedhall, Kungälvs kommun",181.0,25.0,5.0,678.0,9550000.0
29 oktober 2021,Dalen 150,"Kärna, Kungälvs kommun",154.0,25.0,6.0,1052.0,5065000.0
28 oktober 2021,Östra gatan 43,"Bohuslän, Kungälvs kommun",134.0,31.0,5.0,1403.6,5600000.0
27 oktober 2021,Hamngatan 1,"Centralt vid älven, Kungälvs kommun",136.0,83.0,6.0,617.0,6010000.0
26 oktober 2021,Kaprifolvägen 6,"Kärna, Kungälvs kommun",128.0,83.0,5.0,524.0,4800000.0
24 april 2022,Staby 375,"Kärna, Kungälvs kommun",129.0,83.0,6.0,1558.0,5400000.0
24 april 2022,Granvägen 7,"Ytterby, Kungälvs kommun",100.0,54.0,4.0,623.0,5300000.0
22 april 2022,Årsnäs 460,"Kungälv - Årsnäs, Kungälvs kommun",40.0,54.0,3.0,2393.0,3600000.0
16 april 2022,Trankärr 223,"Trankärr, Kungälvs kommun",6.0,54.0,None,958.0,5850000.0
14 april 2022,Marieberg 210,"Kungälv, Kungälvs kommun",120.0,34.0,5.0,3245.0,3150000.0
14 april 2022,Dotorp 260,"Kungälv - Kärna, Kungälvs kommun",162.0,9.0,6.0,2003.0,4775000.0
13 april 2022,Högalidsgatan 12,"Centralt vid älven, Kungälvs kommun",139.0,72.0,7.0,816.0,6450000.0
13 april 2022,Kodevägen 15,"Kode, Kungälvs kommun",147.0,123.0,6.0,1301.0,4525000.0
13 april 2022,Kungälvsvägen 27,"Grinden, Kungälvs kommun",133.0,123.0,6.0,243.0,4950000.0
13 april 2022,Onyxvägen 1,"Kode, Kungälvs kommun",155.0,123.0,7.0,818.0,4400000.0
4 april 2022,Kärnavägen 7,"Kärna, Kungälvs kommun",97.0,133.0,7.0,786.0,3995000.0
3 april 2022,Åsebyberg 735,"Kode, Kungälvs kommun",158.0,21.0,5.0,1362.0,6200000.0
30 mars 2022,Lagvägen 4,"Ytterby, Kungälvs kommun",129.0,20.0,5.0,816.0,5630000.0
30 mars 2022,Marielundsvägen 12,"Koön, Kungälvs kommun",74.0,20.0,3.0,854.0,5400000.0
30 mars 2022,Gräsgången 5,"Kungälv, Kungälvs kommun",121.0,20.0,4.0,343.0,4600000.0
30 mars 2022,Åsebyberg 883,"Åsebyberg, Kungälvs kommun",96.0,20.0,4.0,None,4630000.0
25 mars 2022,Åsebyberg 755,"Kode, Kungälvs kommun",75.0,40.0,3.0,961.0,3900000.0
25 mars 2022,Västra Strandgatan 3,"Centralt vid älven, Kungälvs kommun",111.0,61.0,5.0,650.0,6000000.0
17 mars 2022,Matskärsvägen 6,"Tjuvkil, Kungälvs kommun",155.0,19.0,7.0,521.0,6300000.0
16 mars 2022,Prejelvägen 103,"Ullstorp, Kungälvs kommun",106.0,19.0,4.0,372.0,5380000.0
15 mars 2022,Vävra 425,"Tjuvkil/ Lycke, Kungälvs kommun",165.0,50.0,None,1193.0,7650000.0
15 mars 2022,Briljantvägen 30,"Kode, Kungälvs kommun",143.0,50.0,5.0,520.0,5400000.0
15 mars 2022,Hallsbergsvägen 12,"Kode, Kungälvs kommun",150.0,15.0,6.0,1639.0,5800000.0
11 mars 2022,Rönnvägen 22,"Romelanda, Kungälvs kommun",108.0,70.0,6.0,823.0,5000000.0
10 mars 2022,Galärgatan 8,"Centrum, Kungälvs kommun",119.0,62.0,5.0,655.0,4700000.0
10 mars 2022,Bergkristallvägen 3,"Kode, Kungälvs kommun",125.0,9.0,5.0,527.0,5460000.0
10 mars 2022,Storskiftegatan 17,"Övre Tega, Kungälvs kommun",111.0,9.0,4.0,165.0,4600000.0
9 mars 2022,Dammen 135,"Kode, Kungälvs kommun",90.0,20.0,4.0,4698.0,3200000.0
